id,recipeId,tagId
1,1,1
2,1,8
3,1,15
4,1,35
5,2,1
6,2,24
7,2,14
8,2,36
9,3,1
10,3,22
11,3,37
12,4,1
13,4,3
14,4,22
15,4,38
16,5,1
17,5,31
18,5,7
19,5,36
20,6,1
21,6,22
22,6,14
23,6,37
24,7,2
25,7,9
26,7,8
27,8,1
28,8,7
29,8,22
30,8,39
31,9,1
32,9,4
33,9,11
34,9,22
35,10,2
36,10,9
37,10,25
38,11,1
39,11,3
40,11,31
41,11,36
42,12,2
43,12,8
44,12,23
45,13,2
46,13,9
47,13,35
48,14,9
49,14,2
50,14,27
51,14,35
52,15,1
53,15,15
54,15,8
55,16,1
56,16,4
57,16,3
58,16,42
59,17,3
60,17,1
61,17,43
62,18,1
63,18,4
64,18,13
65,18,40
66,19,8
67,19,9
68,19,41
69,20,31
70,20,1
71,20,7
72,20,37
73,21,7
74,21,1
75,21,8
76,21,37
77,22,8
78,22,11
79,22,15
80,22,35
81,23,1
82,23,12
83,23,44
84,24,1
85,24,22
86,24,18
87,24,42
88,25,1
89,25,19
90,25,7
91,25,49
92,26,21
93,26,19
94,26,8
95,26,41
96,27,1
97,27,8
98,27,9
99,27,45
100,28,1
101,28,11
102,28,8
103,28,46
104,29,21
105,29,15
106,29,47
107,30,2
108,30,22
109,31,3
110,31,20
111,31,1
112,31,39
113,32,3
114,32,4
115,32,22
116,32,48
117,33,3
118,33,4
119,33,1
120,33,36
121,34,3
122,34,11
123,34,22
124,35,3
125,35,4
126,35,8
127,35,41
128,36,31
129,36,11
130,36,4
131,36,35
132,37,7
133,37,5
134,37,1
135,37,37
136,38,9
137,38,8
138,38,1
139,38,35
140,39,1
141,39,18
142,39,4
143,39,45
144,40,3
145,40,6
146,40,19
147,40,40
148,41,1
149,41,31
150,41,35
151,42,1
152,42,11
153,42,8
154,42,59
155,43,31
156,43,4
157,43,33
158,43,44
159,44,1
160,44,16
161,45,2
162,45,9
163,45,59
164,46,2
165,46,23
166,46,9
167,46,37
168,47,2
169,47,28
170,48,2
171,48,9
172,49,2
173,49,13
174,49,25
175,49,42
176,50,11
177,50,1
178,50,22
179,50,48
180,51,9
181,51,31
182,51,1
183,52,31
184,52,4
185,52,28
186,53,26
187,53,1
188,53,9
189,54,2
190,54,32
191,54,33
192,55,1
193,55,25
194,55,15
195,55,8
196,56,1
197,56,8
198,56,19
199,56,59
200,57,1
201,57,22
202,57,2
203,57,39
204,58,1
205,58,18
206,58,31
207,58,59
208,59,1
209,59,8
210,59,24
211,59,35
212,60,2
213,60,26
214,60,10
215,61,2
216,61,29
217,61,10
218,61,59
219,62,9
220,62,2
221,63,1
222,63,3
223,64,1
224,64,9
225,64,10
226,65,8
227,65,9
228,65,21
229,65,41
230,66,31
231,66,4
232,66,22
233,66,38
234,67,1
235,67,30
236,67,11
237,67,56
238,68,1
239,68,4
240,68,22
241,68,37
242,69,4
243,69,31
244,69,12
245,69,50
246,70,11
247,70,1
248,70,10
249,70,51
250,71,3
251,71,15
252,71,38
253,72,3
254,72,1
255,72,8
256,72,60
257,73,3
258,73,9
259,73,19
260,73,52
261,74,22
262,74,1
263,74,37
264,75,1
265,75,4
266,75,22
267,75,49
268,76,1
269,76,21
270,76,62
271,77,22
272,77,11
273,77,1
274,77,35
275,78,1
276,78,11
277,78,26
278,79,1
279,79,21
280,79,53
281,80,11
282,80,23
283,80,1
284,80,54
285,81,2
286,81,23
287,81,55
288,82,18
289,82,11
290,82,25
291,82,45
292,83,2
293,83,11
294,84,3
295,84,23
296,84,1
297,84,36
298,85,3
299,85,20
300,85,1
301,85,39
302,86,3
303,86,17
304,86,1
305,86,38
306,87,9
307,87,1
308,87,12
309,87,48
310,88,1
311,88,25
312,88,21
313,88,53
314,89,2
315,89,1
316,89,14
317,89,36
318,90,4
319,90,8
320,90,1
321,91,8
322,91,3
323,91,24
324,91,61
325,92,21
326,92,16
327,92,1
328,92,41
329,93,1
330,93,2
331,93,36
332,94,1
333,94,21
334,94,41
335,95,7
336,95,1
337,95,34
338,95,37
339,96,1
340,96,21
341,96,38
342,97,1
343,97,17
344,97,3
345,97,61
346,98,1
347,98,8
348,98,54
349,99,6
350,99,1
351,99,58
352,100,1
353,100,4
354,100,8
355,100,55
356,101,3
357,101,9
358,101,8
359,101,40
360,102,1
361,102,31
362,102,49
363,103,1
364,103,21
365,103,57
366,104,1
367,104,21
368,104,15
369,104,42
