id,name
1,savory
2,sweet
3,spicy
4,tangy
5,salty
6,sour
7,umami
8,rich
9,creamy
10,buttery
11,cheesy
12,briny
13,nutty
14,garlicky
15,meaty
16,earthy
17,smoky
18,herby
19,aromatic
20,numbing
21,spiced
22,crispy
23,chewy
24,tender
25,flaky
26,fluffy
27,smooth
28,light
29,eggy
30,soft
31,fresh
32,refreshing
33,cold
34,simple
35,Italian
36,Korean
37,Japanese
38,Mexican
39,Chinese
40,Thai
41,Indian
42,Middle Eastern
43,Creole
44,Spanish
45,Greek
46,Canadian
47,Hungarian
48,American
49,Vietnamese
50,Peruvian
51,Georgian
52,Malaysian
53,Latin American
54,Brazilian
55,Filipino
56,Eastern European
57,Uzbek
58,Polish
59,French
60,Ethiopian
61,Indonesian
62,Mediterranean
